GS_class;SF_class;SF_number;CH_distance;CH_area;SS_distance;SS_number;SS_areas;Day;Month;Year;CME_max_angular_width;CME_max_velocity;CME_number
0;5.5e-06;48;16.816684702508134;943119952960.0;21.09086032583224;10;-363632502;20;3;2013;62;1785.0;13
0;1.6000000000000006e-05;67;42.23716814334004;393740274560.0;5.0498832638281135;7;-171382392;21;3;2013;192;718.0;14
0;2.9e-06;61;10.255231735946195;401823455290.0;14.37407764120312;4;1893838978;22;3;2013;192;1953.0;19
0;6.8e-07;28;31.677927752968145;427343689850.0;1000.0;0;0;23;3;2013;177;1953.0;13
0;4.1e-07;5;25.063175248345388;685075001210.0;90.88565537076107;4;1490520992;24;3;2013;104;1838.0;10
0;4.4e-07;12;26.588405131221123;666281083860.0;36.31707983063134;5;2065875008;25;3;2013;65;496.0;10
0;3.5e-07;12;15.506922903055234;663863569770.0;45.71931349348843;5;1934363008;26;3;2013;64;664.0;15
0;2.6e-07;5;39.780848764571545;716078152090.0;23.554753190585927;5;1708424032;27;3;2013;44;453.0;4
0;5.3e-07;11;64.56944116704989;676293974290.0;27.559717506566148;5;1867357984;28;3;2013;133;694.0;9
1;0.0;10;26.81904611234745;763325860720.0;18.950689413861973;6;-2002043296;29;3;2013;99;538.0;4
1;8.8e-07;22;17.367282489153087;754473996300.0;63.493379881545714;6;-2102950304;30;3;2013;48;497.0;3
0;8.199999999999998e-07;25;7.738026303252218;817470971780.0;16.95213163295313;9;-2127692632;31;3;2013;32;558.0;11
0;7.4e-07;25;3.747659436973839;1002107322100.0;84.79165698147006;8;-421190466;1;4;2013;197;2016.0;14
0;9.6e-07;51;15.826913184193947;1249718067000.0;52.83308954763512;5;112075388;2;4;2013;56;507.0;5
0;2.7000000000000004e-06;43;21.48820316343962;1088290753690.0;32.58653524091339;4;-860394622;3;4;2013;75;1736.0;5
0;1.2e-06;40;24.367598304315344;1179067194690.0;45.21602862459317;5;959065338;4;4;2013;61;546.0;10
0;2.2000000000000006e-05;37;26.262019362249173;1266296782410.0;16.443507644229225;5;99105418;5;4;2013;228;1647.0;13
0;1.6999999999999996e-06;77;44.618468787472736;1160602687690.0;23.37630738208773;8;550903488;6;4;2013;71;744.0;20
0;3.1e-06;62;10.074916866681264;1312883263000.0;23.37630738208773;19;474030242;7;4;2013;42;425.0;11
0;1.6e-06;84;10.074916866681264;1109507169610.0;27.802804379554285;20;232321274;8;4;2013;89;694.0;15
0;2.9e-06;93;16.39916730180629;838902554550.0;41.471751539637204;16;-1189497708;9;4;2013;134;484.0;14
0;4.2000000000000004e-06;101;15.334879003749025;816932318400.0;80.63563609977889;15;937593436;10;4;2013;44;443.0;9
0;6.500000000000001e-05;113;15.334879003749025;685294672500.0;61.808963658998785;19;1470520382;11;4;2013;360;1894.0;19
0;3.3e-05;57;34.69827789401621;615126470810.0;38.869220247279976;22;-1923870868;12;4;2013;131;1602.0;12
0;1.9e-06;38;41.56754088451725;418759216020.0;32.54066127332382;15;-2003365670;13;4;2013;68;461.0;8
0;7e-07;39;31.58965639436305;469454721420.0;45.60868328810914;12;692974688;14;4;2013;83;1524.0;12
0;1.2e-06;33;38.89634775628912;518737148850.0;56.61060176656552;7;-875282272;15;4;2013;51;992.0;8
0;3.5000000000000016e-06;70;38.89634775628912;686640869360.0;38.99662575013093;12;1551808708;16;4;2013;73;276.0;6
0;1.3e-06;35;37.34682604483727;807024129400.0;84.76276537618661;8;-731692352;17;4;2013;79;292.0;7
0;6.5000000000000004e-06;21;35.43262889040448;1257150252080.0;27.508561432195894;9;-596343328;18;4;2013;199;1249.0;18
0;1.1e-06;33;35.43262889040448;1463784493600.0;102.17158520725263;1;394865984;19;4;2013;56;919.0;14
0;1.5e-06;87;29.122968713557075;1443801101670.0;62.23672376133733;3;1871431008;20;4;2013;153;1785.0;23
0;4.5e-06;164;22.504736667425046;1337416756060.0;82.88328030535314;9;-953520664;21;4;2013;360;1838.0;16
0;1e-05;84;22.504736667425046;1305730753380.0;76.08078970108463;10;-1943413898;22;4;2013;109;1645.0;23
0;8.2e-06;137;14.134057503350055;1209193362000.0;86.1174855180103;10;186628042;23;4;2013;106;615.0;18
0;2.5e-06;102;40.930716637498996;1054768059310.0;55.57961914382741;6;-527204742;24;4;2013;360;1952.0;16
0;5.8e-06;94;24.780876356837148;838684587540.0;18.975909246746504;16;1685857926;25;4;2013;360;1838.0;16
1;7.000000000000003e-06;74;6.930740240803733;894062110950.0;35.08397015662671;18;719667406;26;4;2013;150;702.0;10
0;5.2e-06;64;34.161359736800875;848174380450.0;19.135835047197368;13;-2047920504;27;4;2013;138;702.0;9
0;4.4e-06;144;12.574762639534464;669215537480.0;19.135835047197368;13;2047883660;28;4;2013;121;578.0;12
0;5.9e-06;159;16.115176141710293;596636999330.0;35.85375273218337;13;1642687650;29;4;2013;209;452.0;8
0;3.6000000000000007e-06;101;39.179818569911546;514458307630.0;36.132911917079454;28;566443936;30;4;2013;163;412.0;9
0;9.6e-06;170;19.596786845874426;608633672666.0;30.25018079291416;30;-1782112458;1;5;2013;360;1249.0;12
0;1.1e-05;109;14.554044954860586;627713309780.0;31.57759248952929;28;534219818;2;5;2013;99;1953.0;15
0;5.6999999999999996e-05;82;31.667049836372147;814096925290.0;61.50669768822408;25;762756608;3;5;2013;274;858.0;18
0;5.6e-06;88;19.491626543947067;792395407900.0;34.76572417241302;17;-1599517936;4;5;2013;99;589.0;14
0;1.4000000000000001e-05;164;27.25430367657917;782736468700.0;60.67347414352014;16;-613519802;5;5;2013;67;710.0;13
0;2.4e-06;86;21.885830365013064;760441829020.0;60.67347414352014;8;733215294;6;5;2013;81;651.0;20
0;1.6e-06;62;8.982965883215464;694017041820.0;75.87387796649091;6;214785278;7;5;2013;93;961.0;15
0;2.9e-06;25;54.40765111291554;672581098540.0;73.86982791210642;8;-1146287510;8;5;2013;112;510.0;7
0;9e-06;95;26.99923433246673;640917741670.0;63.095271678163975;9;-1814657670;9;5;2013;158;2015.0;20
0;3.9e-05;92;14.854116868541874;871401085730.0;63.095271678163975;7;1636666806;10;5;2013;120;1875.0;16
0;8e-06;81;44.299087776928644;963038552660.0;57.41446414154546;7;533788696;11;5;2013;60;718.0;22
0;1.9e-05;109;20.619438199202744;651381516340.0;40.66617434928986;13;910892488;12;5;2013;140;631.0;16
0;0.00028;131;24.065137289693144;341756999130.0;43.21365786032639;27;729116000;13;5;2013;360;1952.0;17
0;0.00032;79;11.166288582110974;436111674910.0;21.622657480808464;24;-226338368;14;5;2013;360;2625.0;22
0;0.00011999999999999999;64;17.41815906513559;528304136200.0;21.622657480808464;22;1414499124;15;5;2013;360;1390.0;15
0;1.3e-05;74;46.74893114995938;497576555900.0;64.11219713368939;20;550964056;16;5;2013;63;1562.0;10
0;3.2000000000000005e-05;55;52.25837215212514;513330457490.0;21.096874197576273;18;-1403009958;17;5;2013;360;1345.0;17
1;6e-06;52;26.657550061680226;858066411190.0;65.57969762566309;14;230336378;18;5;2013;72;534.0;13
0;9.9e-06;111;26.657550061680226;1414411303000.0;70.18018831165419;13;-265757626;19;5;2013;84;1059.0;22
0;1.8e-05;103;18.867347225054953;2052909562660.0;29.465951800869114;13;-1066686562;20;5;2013;181;1006.0;19
0;2.9e-06;81;25.64273939929837;2084343820290.0;33.41298486779175;13;1675392676;21;5;2013;185;822.0;21
0;5e-05;81;17.77959507848075;1934948823820.0;51.933705566284274;24;-1767138848;22;5;2013;360;1466.0;10
0;3.9e-06;116;30.207606242016663;1446440737630.0;44.60490416376157;25;402943222;23;5;2013;123;1836.0;15
1;2.5e-06;76;30.207606242016663;1071141723810.0;19.87668813788724;21;498334590;24;5;2013;78;1491.0;9
1;2.1000000000000002e-06;59;21.45089474452585;1097540035530.0;33.43058362136126;13;1924541728;25;5;2013;73;485.0;8
1;3.8e-06;49;12.587432399755409;1204221933430.0;45.137691725839474;13;1632945722;26;5;2013;256;606.0;7
0;8.1e-07;28;13.71637514736885;1198679617500.0;77.5395208343954;10;545938690;27;5;2013;126;528.0;7
0;9.6e-07;14;24.887815162626953;1174880112020.0;53.68354119946689;10;13471714;28;5;2013;49;413.0;6
0;2.9e-06;64;7.6439151154558385;1048396190730.0;66.94259080821955;6;-1684531296;29;5;2013;155;811.0;8
0;9.4e-07;45;11.18937728867445;839575037350.0;68.67458718787354;3;1087245024;30;5;2013;127;493.0;7
0;1e-05;22;12.265965527072876;844527519760.0;1000.0;0;0;31;5;2013;245;660.0;9
2;7.2e-07;15;22.271767449602304;1024132598380.0;90.84375366551598;1;320920000;1;6;2013;14;1302.0;4
1;1.8000000000000001e-06;53;17.010035933411235;1221293754700.0;84.98482139124846;8;-450384224;2;6;2013;89;494.0;11
0;9.5e-06;45;42.91312786118974;1033856772790.0;27.67429601419561;12;-1329537478;3;6;2013;86;315.0;1
0;8.9e-07;28;19.15898691270186;971609995960.0;27.67429601419561;18;1551607514;4;6;2013;159;1953.0;8
0;1.3e-05;16;23.96319103681882;916418768200.0;58.466101610265596;17;883200462;5;6;2013;214;821.0;12
0;7.699999999999998e-07;26;11.439252595652896;923226712030.0;107.49032617023742;7;695337720;6;6;2013;33;477.0;7
2;5.900000000000001e-05;47;17.908303797906598;1194489323150.0;46.35148595792866;7;-905829244;7;6;2013;150;770.0;12
0;2.3e-06;18;17.908303797906598;752046527600.0;46.35148595792866;5;-1468458266;8;6;2013;150;1689.0;14
0;3.7000000000000006e-06;14;60.61341502261639;320555367210.0;45.13734634726243;4;1765155008;9;6;2013;39;880.0;8
0;1.9e-06;37;68.67635893551224;67779359610.0;1000.0;0;0;10;6;2013;47;577.0;8
0;0.0;0;88.6613004745907;55061058900.0;1000.0;0;0;11;6;2013;135;932.0;12
0;4.5e-07;8;42.851745689801774;162096598000.0;1000.0;0;0;12;6;2013;135;1953.0;17
0;1.2e-06;37;42.851745689801774;323773830990.0;64.18715648832418;1;581905020;13;6;2013;360;880.0;16
0;1.2e-06;51;55.227894195495864;653010004210.0;24.603062643615683;6;751275694;14;6;2013;64;689.0;10
0;1e-06;25;16.695572220341006;1043322756100.0;72.67405375470696;15;-1116522564;15;6;2013;54;437.0;12
0;1e-06;64;13.676126727918431;1221845673800.0;65.82059705110248;17;-1136284636;16;6;2013;101;1955.0;20
0;1.6999999999999996e-06;46;36.12837223623468;1434152020600.0;37.12160932154017;13;1350987394;17;6;2013;113;1096.0;10
0;2.4e-06;57;20.43412260511574;1387055974978.0;80.67271220209892;6;-199160406;18;6;2013;153;833.0;13
0;8.400000000000001e-06;57;35.226820116922326;1246662497028.0;77.3074517587067;5;-840754562;19;6;2013;122;1249.0;11
0;1.9e-06;81;41.10729430290772;1199671956900.0;78.23434087434629;5;-2117855622;20;6;2013;62;905.0;8
0;2.8999999999999997e-05;125;48.521493606711616;1357687020130.0;33.30120740165256;17;-768825950;21;6;2013;207;1900.0;8
0;1.5e-06;44;0.913965453773838;1529237668120.0;27.598061880647048;33;-1985686630;22;6;2013;262;686.0;7
0;2.8999999999999997e-05;37;16.407612730892215;1531059457700.0;17.530636482293133;29;1002953148;23;6;2013;174;1096.0;12
